Key	Dist	DistPartNumber
2KBP:	DK	2KBP04MFS-ND
CPOL-USE2.5-5:10u	DK	P997-ND
C-USC0603:.1u	DK	478-1239-1-ND
CPOL-USE3.5-10:47u	DK	P836-ND
CPOL-USE3.5-10:220u	DK	493-1302-ND
CAP0603-CAP:0.1u	DK	478-1239-1-ND
C-USC0603:16p	DK	C1608C0G1H160J
CAP0603-CAP:10n	DK	06035C103KAT2A
CAP0603-CAP:220n	DK	EMK107B7224KA-T
CAP0603-CAP:68n	DK	ECJ-1VB1C683K
CAP0603-CAP:1n	DK	06035C102KAT2A
CAP0805:0.0022u	DK	C1608X7R1H222K
CAP0603-CAP:5.6n	DK	06035C562KAT2A
DIODESOD-323:1n4148	DK	1N4148WXTPMSCT-ND
LEDCHIP-LED0603:Power	DK	LS Q976-NR-1
LEDCHIP-LED0603:Load0	DK	LG Q971-KN-1
LEDCHIP-LED0603:Load1	DK	LG Q971-KN-1
LEDCHIP-LED0603:RSSI	DK	LG Q971-KN-1
LEDCHIP-LED0603:RadioOn	DK	LG Q971-KN-1
LEDCHIP-LED0603:Activity	DK	LG Q971-KN-1
L6207D	DK	L6207D013TR
7805	DK	L7805CV
7812	DK	L7812CV
78L3.3	DK	L78L33ABZ-AP
74HC04D	DK	SN74HC04D
ACIN	DK	277-1247-ND
LOAD0	DK	277-1247-ND
LOAD1	DK	277-1247-ND
ACPS	DK	277-1247-ND
Heated Dirt	DK	277-1721-ND
Potted Dirt	DK	277-1721-ND
Box Interior	DK	277-1721-ND
Box Exterior	DK	277-1721-ND
Aux0	DK	277-1721-ND
Aux1	DK	277-1721-ND
Light Sensor	DK	277-1721-ND
Lid Switch	DK	277-1721-ND
18VAC	DK	277-1721-ND
Motor Encoder	DK	277-1860-ND
Motor	DK	277-1860-ND
DHT12	DK	277-1722-ND
FOCA2.1	DK	S7038-ND
L0EXT	DK	A31112-ND
L1EXT	DK	A31112-ND
AVR_SPI	DK	609-3210-ND
CRYSTALHC49UP:16MHz	DK	887-1059-1-ND
RESISTOR0603-RES:150	DK	P150GCT-ND
RESISTOR0603-RES:1k	DK	P1.0KGCT-ND
RESISTOR0603-RES:330	DK	P330GCT-ND
R-US_R0603:1k	DK	P1.0KGCT-ND
RESISTOR0603-RES:100	DK	P100GCT-ND
RESISTOR0603-RES:10k	DK	P10KGCT-ND
R-US_R1210:.1	DK	73L5R10JCT-ND
R-US_R0603:39k	DK	P39.0KHCT-ND
RESISTOR0603-RES:47	DK	P47GCT-ND
RESISTOR0603-RES:100k	DK	P100KGCT-ND
RESET	DK	450-1140-ND
S108T02	DK	425-2396-5-ND
ACS712:ACS712	DK	620-1190-1-ND
XBEE	DK	S5902-10-ND
ATMEGA328	DK	ATMEGA328P-AU-ND
